Ticket Number,Ticket_Date,Branch,ASM_Name,DC,Distributor_Code,Distributor_Name,Module_Name,Current_Status,CD_Type,Transporter,Ticket_Year,Ticket_Month,Unnamed: 13,Invoice_No_Extracted,Product_Code_Extracted,Batch_Code_Extracted,SKU_Name_Extracted,MRP_Extracted,Description,Closed_By,Closed_Date,Source_Status,Ticket_Year_Month,Ticket_Quarter,Ticket_Count,Open_Closed_Group,Issue_Category,Responsible_Area,Issue_Tags,Remarks_Updated,LR_No,Vehicle_No_Extracted,Quantity_Extracted,Order_ID_Extracted,Driver_Name_Extracted,Phone_No_Extracted,HSN_Code_Extracted,Reason_Extracted,DC_Issue_Status,DC_Code,ASM,Ticket_Number,Distributor_Code_Text,Distributor,Module,Invoice_Number,Batch_Code,SKU_Name,ASM_Zone,Product_Code_Count,Product_Code_Validation,Brand,CAT,BU,Brand_Mapping_Status,OTR_Month,OTR_Day,OTR_Week,Missing_Invoice_Flag,Missing_Product_Code_Flag,Missing_Batch_Flag,Missing_Brand_Mapping_Flag,Duplicate_Flag,Date_Validation_Status,Date_Difference_Days,Source_File,Source_Sheet
6852868-20260428-163605,2026-04-28,South Branch,L5 IN Andhra Pradesh NP,2032,6852868,18MILES,BI-Returns,Closed,NP-Distributor,TCI Supply Chain Solutions (A Divn.,2026,Apr,,1099842467,,,Nescafe Gold Original Rs. 1450,,The stock for Order ID: 4083514531- Invoice No: 1099842467- Nescafe Gold Original Rs. 1450 SKU has been invoiced for Rs. 1450 but stocks received for Rs. 1290. This has been repeated 3rd time. The 2 cases have been returned but credit note is still pending. Kindly issue credit note for 2 cases returned,INPRAKASMA1,2026-03-07 19:56:45,Closed,2026-04,Q2,1,Closed,,,,,,,2 CASES,4083514531,,,,,DC Issue,2032,L5 IN Andhra Pradesh NP,6852868-20260428-163605,6852868,18MILES,BI-Returns,1099842467,,Nescafe Gold Original Rs. 1450,Not Available,0,Missing,Not Available,Not Available,Not Available,Not Available,2026-04,Tuesday,18,False,True,True,True,False,Valid,,Final OTR Data.xlsx + Secondary OTR issue(1).xlsx,Sheet1
6852868-20260428-164006,2026-04-28,South Branch,L5 IN Andhra Pradesh NP,2032,6852868,18MILES,BI-Damages,Closed,NP-Distributor,Jurigari Private Limited,2026,Apr,,1099847548,,,Damage and wet cartons of chocolate- Kitkat Rs. 25,,"Damage and wet cartons of chocolate- Kitkat Rs. 25 SKU received. 5Cases were returned due to rain damage. The credit note is to be issued for the returned 5 Cases.Order ID: 4077104955, Invoice No.: 1099847548",INPRAKASMA1,2026-03-07 19:56:45,Closed,2026-04,Q2,1,Closed,,,,,,,5 CASES,4077104955,,,,,DC Issue,2032,L5 IN Andhra Pradesh NP,6852868-20260428-164006,6852868,18MILES,BI-Damages,1099847548,,Damage and wet cartons of chocolate- Kitkat Rs. 25,Not Available,0,Missing,Not Available,Not Available,Not Available,Not Available,2026-04,Tuesday,18,False,True,True,True,False,Valid,,Final OTR Data.xlsx + Secondary OTR issue(1).xlsx,Sheet1
6852868-20260130-160237,2026-01-30,South Branch,L5 IN Andhra Pradesh NP,2032,6852868,18MILES,BI-Any other,Closed,NP-Distributor,TCI Supply Chain Solutions (A Divn.,2026,Jan,,"1099833365, 1099832066, ",,,,1450; 1290,Order wrongly invoiced for MRP 1450 while delivered SKUs of MRP 1290. (4 Cases total) Order No. 4082137683 (2 Cases) Invoice No. 1099833365 LR No. WHYD3001202601044470 Order No. 4081931180 (2 Cases) Invoice No. 1099832066 LR No. 1099832065-066 Kindly get the credit note raised as there are no 1450 MRP cases in DC,INPRAKASMA1,2026-10-04 00:17:46,Closed,2026-01,Q1,1,Closed,,,,,,,4 CASES; 2 CASES,,,,,,DC Issue,2032,L5 IN Andhra Pradesh NP,6852868-20260130-160237,6852868,18MILES,BI-Any other,"1099833365, 1099832066, ",,,Not Available,0,Missing,Not Available,Not Available,Not Available,Not Available,2026-01,Friday,5,False,True,True,True,False,Valid,,Final OTR Data.xlsx + Secondary OTR issue(1).xlsx,Sheet1
6852868-20260127-120147,2026-01-27,South Branch,L5 IN Andhra Pradesh NP,2032,6852868,18MILES,BI-Stock Shortages,Closed,NP-Distributor,Smartship Logistics Private,2026,Jan,,1099828612,,,Milkybar Mould Rs. 20; Milkybar Mould 16(24*24.5g) N1 IN SKU Code: 5341C711AA,,Milkybar Mould Rs. 20 SKU: The quantity ordered was 20 cases while only 19 cases have been delivered. Request you to please raise claim for the pending 1 case Invoice No.: 1099828612 LR No. 192307408938 Order No.:4081431643 SKU: Milkybar Mould 16(24*24.5g) N1 IN SKU Code: 5341C711AA,INPRAKASMA1,2026-10-04 00:17:46,Closed,2026-01,Q1,1,Closed,,,,,,,20 CASES; 19 CASES; 1 CASE,,,,,,Not a DC Issue,2032,L5 IN Andhra Pradesh NP,6852868-20260127-120147,6852868,18MILES,BI-Stock Shortages,1099828612,,Milkybar Mould Rs. 20; Milkybar Mould 16(24*24.5g) N1 IN SKU Code: 5341C711AA,Not Available,0,Missing,Not Available,Not Available,Not Available,Not Available,2026-01,Tuesday,5,False,True,True,True,False,Valid,,Final OTR Data.xlsx + Secondary OTR issue(1).xlsx,Sheet1
6852868-20260127-120439,2026-01-27,South Branch,L5 IN Andhra Pradesh NP,2032,6852868,18MILES,BI-Any other,Closed,NP-Distributor,Smartship Logistics Private,2026,Jan,,1099828612,,,Iced Premix- 2,444; 499,Iced Premix received: MRP 444 (Invoicing done for MRP 499 while stocks received with MRP 444). 2 cases have been returned to DC. Request you to raise a credit note for the same as the CD has placed order again due to shortage. Invoice No.: 1099828612 LR No.: 192307408938 Order ID: 4081431643 SKU Code: 524928141B SKU: Iced Premix- 2 Cases,INPRAKASMA1,2026-10-04 00:17:46,Closed,2026-01,Q1,1,Closed,,,,,,,2 CASES,4081431643,,,,,DC Issue,2032,L5 IN Andhra Pradesh NP,6852868-20260127-120439,6852868,18MILES,BI-Any other,1099828612,,Iced Premix- 2,Not Available,0,Missing,Not Available,Not Available,Not Available,Not Available,2026-01,Tuesday,5,False,True,True,True,False,Valid,,Final OTR Data.xlsx + Secondary OTR issue(1).xlsx,Sheet1
5242655-20260408-160308,2026-04-08,South Branch,L5 IN Tamil Nadu 2,B744,5242655,A P J Associates,BI-Stock Shortages,Closed,GT Distributors,KKP Express,2026,Apr,,959172670,12586422,60670455CA,MAGGI NTR-ICS ATTA 96*72.5G RC 2 IN -1,30,invoice number 959172670 DATE 7-4-2026 PRODUCT CODE 12586422 MAGGI NTR-ICS ATTA 96*72.5G RC 2 IN -1 CASE SHORT MRP -30 BATCH CODE 60670455CA KKP EXPRESS TN37DZ0675,INPRAKASMA1,2026-08-06 14:17:15,Closed,2026-04,Q2,1,Closed,,,,,,TN37DZ0675,1 CASE,,,,,,Not a DC Issue,B744,L5 IN Tamil Nadu 2,5242655-20260408-160308,5242655,A P J Associates,BI-Stock Shortages,959172670,60670455CA,MAGGI NTR-ICS ATTA 96*72.5G RC 2 IN -1,Not Available,1,Valid 8 Digit Code,IN CUL : Noodles Value Added,CULINARY,F&B,Exact Product Code Match,2026-04,Wednesday,15,False,False,False,False,False,Valid,,Final OTR Data.xlsx + Secondary OTR issue(1).xlsx,Sheet1
5242655-20260302-140013,2026-03-02,South Branch,L5 IN Tamil Nadu 2,B744,5242655,A P J Associates,BI-Any other,Closed,GT Distributors,KKP Express,2026,Mar,,959163652,60170453; 60440453,,,235; 250,"TN37DZ0675 KKP EXPRESS INVOICE NUMBER 959163652 PRODUCT CODE 60170453A1( CERELAC RICE ZS 1 CASE MRP -235 IN)  RECEIVED STOCK IN CD CERELAC RICE PRODUCT CODE 60440453A2 MRP 250,DRIVER NAME KALISHERAN PHONE NUMBER 9698224937",INPRAKASMA1,2026-10-04 00:17:46,Closed,2026-03,Q1,1,Closed,,,,,,TN37DZ0675,1 CASE,,KALISHERAN,9698224937.0,,,DC Issue,B744,L5 IN Tamil Nadu 2,5242655-20260302-140013,5242655,A P J Associates,BI-Any other,959163652,,,Not Available,2,Multiple 8 Digit Codes,Not Available,Not Available,Not Available,Not Available,2026-03,Monday,10,False,False,True,True,False,Valid,,Final OTR Data.xlsx + Secondary OTR issue(1).xlsx,Sheet1
6973481-20260416-111911,2026-04-16,South Branch,L5 IN Kerala 1,C963,6973481,A S Associates,BI-Stock Shortages,Pending,GT Distributors,Global Trade Solutions,2026,Apr,,"1365801306, 1365801306, 1365802192, 1365802192",,,,,Milkmaid doy pack 64*190g 1CS INVOICE NO.  1365801306 BILL DATE:23-03-26 MAGI Tom Ket 24*190g 1CS INVOICE NO.  1365801306 BILL DATE:23/03/26 MUNCH TWIN bAR 24(24*19.8) 1CS INVOICE NO.  1365802192 BILL DATE:06-04-2026 MILKYBAR MOOSHA Ctin 12(24*20G) 2CS INVOICE NO.  1365802192 BILL DATE:06-04-2026,,,Pending,2026-04,Q2,1,Open / Pending,,,,,,,1 CS; 2 CS,,,,,,Not a DC Issue,C963,L5 IN Kerala 1,6973481-20260416-111911,6973481,A S Associates,BI-Stock Shortages,"1365801306, 1365801306, 1365802192, 1365802192",,,Not Available,0,Missing,Not Available,Not Available,Not Available,Not Available,2026-04,Thursday,16,False,True,True,True,False,Valid,,Final OTR Data.xlsx + Secondary OTR issue(1).xlsx,Sheet1
6999039-20260415-124530,2026-04-15,South Branch,L5 IN Tamil Nadu 1,B744,6999039,A S Distributor,BI-Stock Shortages,Closed,GT Distributors,KKP Express,2026,Apr,,959173316,14328933,,KK 2F MINI JAR6((58+2)*13.2G ),10,INV NO:959173316 INV DATE ;10/04/26 LR NO;10199 TRANSPORT NO;TN60K9283 PRODUCT CODE 14328933 PRODUCT NAME;KK 2F MINI JAR6((58+2)*13.2G ) MRP:10RS CASE :1CASE,INPRAKASMA1,2026-08-06 14:17:15,Closed,2026-04,Q2,1,Closed,,,,,10199,TN60K9283,1 CASE,,,,,,Not a DC Issue,B744,L5 IN Tamil Nadu 1,6999039-20260415-124530,6999039,A S Distributor,BI-Stock Shortages,959173316,,KK 2F MINI JAR6((58+2)*13.2G ),Not Available,1,Valid 8 Digit Code,IN C&C : Kitkat,CHOCOLATE,F&B,Exact Product Code Match,2026-04,Wednesday,16,False,False,True,False,False,Valid,,Final OTR Data.xlsx + Secondary OTR issue(1).xlsx,Sheet1
6999039-20260415-124835,2026-04-15,South Branch,L5 IN Tamil Nadu 1,B744,6999039,A S Distributor,BI-Stock Shortages,Closed,GT Distributors,KKP Express,2026,Apr,,959173317,13680087,,MAGGI MASALA 16*450GM,87,INV NO:959173317 INV DATE:11/04/2026 LR NO;10199 TRANSPORT NO:TN60K9283 PRODUCT CODE:13680087 PRODUCT NAME:MAGGI MASALA 16*450GM MRP:87 CASE :1CASE,INPRAKASMA1,2026-08-06 14:17:15,Closed,2026-04,Q2,1,Closed,,,,,10199,TN60K9283,87 CASE; 1 CASE,,,,,,Not a DC Issue,B744,L5 IN Tamil Nadu 1,6999039-20260415-124835,6999039,A S Distributor,BI-Stock Shortages,959173317,,MAGGI MASALA 16*450GM,Not Available,1,Valid 8 Digit Code,IN CUL : Noodles,CULINARY,F&B,Exact Product Code Match,2026-04,Wednesday,16,False,False,True,False,False,Valid,,Final OTR Data.xlsx + Secondary OTR issue(1).xlsx,Sheet1
